Animes,,,,,,,,,,,,
QUI - 20h,,LILIAN,,08 - 12 (Comp),,,,,,,,
QUI - 20h,,,,,,,,,,,,
SEX - 20h,,VINICIUS,,2º TEMPORADA,,,,,,,,
SEX - 20h,,GIL,,3 EPISODIOS,,,,,,,,
SAB - 10/11h,,ROBSON,,SEMANAL,,,,,,,,
SAB - 10/11h,,,,,,,,,,,,
SAB - 10/11h,,,,,,,,,,,,
SAB - 10/11h,,,,,,,,,,,,
SAB - 10/11h,,,,,,,,,,,,
SAB - 10/11h,,,,,,,,,,,,
,,,,,,,,,,,,
DIA,MANGÁ,PATROCINADOR,,QTD CAPÍTULOS,,,,,,,,
SABADO,THE BEGINNING AFTHE THE END,ROBSON,,COMPLETO,,,,,,,,
SABADO,Hen'ai Heartbeat,EPAX,,3 CAPITULOS,,,,,,,,
SABADO,Jakdu,EPAX,,1 CAPITULO,,,,,,,,
SABADO,99 WOONDEN STICK,BR DANIEL,,16 CAPITULOS,,,,,,,,
,,,,,,,,,,,,
Tipo,Próximos animes,Patrocinador,,Quantidade de episódios,,,,,,,,
Anime,Makeine,EPAX,,EM ESPERA,,,,,,,,
Anime,Oshi no ko,EPAX,,1 EPISÓDIO,,,,,,,,
Anime,The Journey of Elaina,EPAX,,Eps 1 e 3,,,,,,,,
Anime,Oshi no ko,EPAX,,1 EPISÓDIO,,,,,,,,
Anime,Tonikaku kawaii,GIL,,2 EPISÓDIOS,,,,,,,,
Anime,WISTORIA,GIL,,3 EPISODIOS,,,,,,,,
Anime,The Reincarnation Of The Strongest Exorcist In Another World,GU e GIL,,8 EPISÓDIOS,,,,,,,,
Anime,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechu",GIL,,3 EPISODIOS,,,,,,,,
Anime,Dark Gathering,EPAX,,Em espera,,,,,,,,
Anime,Dr. Stone episódio especial,VINICIUS,,1,,,,,,,,
Anime,Dr. Stone 3,VINICIUS,,3ª TEMPORADA,,,,,,,,
Anime,Dr. Stone 4,VINICIUS,,4ª TEMPORADA,,,,,,,,
Filme,Tanya the evil,VINICIUS,,1,,,,,,,,
Anime,Doctor elise,GU,,Em espera (6 eps),,,,,,,,
Anime,Tensei shitara dainana,GU,,Em espera (6 eps),,,Animes,Status,,,,
Anime,Diários de uma apotecária,GU,,Em espera (6 eps),,,Iruma-kun 3,Completo,,,,
